Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
The Southern Kitchen - Dosa Lounge,350,South Indian,Kochi,Kakkanad,Casual Dining,8am to 11pm(Mon-Sun),Average,3.2,61
Hotel New Metro Palace,700,"North Indian,Kerala,Chinese",Kochi,Marine Drive,Casual Dining,11am to 11pm(Mon-Sun),Good,3.7,48
Drunken Panda,200,"Beverages,Juices",Kochi,LuLu Mall-- Edappally,Beverage Shop,11am to 10pm(Mon-Sun),Good,3.8,15
Thara Restaurant,400,South Indian,Kochi,Kacheripady,none,7am to 10pm(Mon-Sun),Good,3.5,67
Baskin Robbins,300,"Ice Cream,Desserts",Kochi,Elamkulam,Dessert Parlor,11am to 11pm(Mon-Sun),Good,3.9,44
Naadan Unnum Meen Ruchiyum,450,"Biryani,Seafood,Kerala",Kochi,Chittoor Road,Quick Bites,"8am to 11am,1130am to 4pm(Mon-Sun)",Average,3.4,50
Enter The Dragon,200,Chinese,Kochi,Kakkanad,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,49
Punjabi Dhaba,250,North Indian,Kochi,Pallimukku,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,40
New Persian Durbar,600,"Chinese,South Indian,North Indian",Kochi,Kakkanad,Casual Dining,10am to 12midnight(Mon-Sun),Average,2.6,119
Zaina Bakes & Food Court,400,"Chinese,Arabian,Indian",Kochi,Aluva,Casual Dining,11am to 8pm(Mon-Sun),Average,3.4,46
NM Food World,400,"South Indian,Kerala",Kochi,Tripunithura,Quick Bites,11am to 11pm(Mon-Sun),Poor,2.3,60
Ila Restaurant,300,South Indian,Kochi,Edappally,Quick Bites,12noon to 10pm(Mon-Sun),Average,3.4,18
Rangoli,400,"Chinese,South Indian,Mangalorean,North Indian",Kochi,Woodlands Hotel-- MG Road,Casual Dining,730am to 10pm(Mon-Sun),Poor,2.4,43
Hoggers Gourmet Kitchen- The Food Truck,400,"Mexican,Lebanese,Chinese,Wraps,Rolls",Kochi,Kakkanad,Food Truck,6pm to 11pm(Mon-Sun),Good,3.8,50
Grillz Cafe,250,"North Indian,Arabian,Chinese,Italian,Biryani,BBQ,Mexican",Kochi,Panampilly Nagar,Casual Dining,"11am to 330pm,530pm to 11pm(Mon-Sun)",Average,3.3,12
Spice Villa,900,"North Indian,South Indian,Chinese,Continental",Kochi,Panampilly Nagar,Fine Dining,11am to 11pm(Mon-Sun),Good,3.7,38
Snacko,300,Fast Food,Kochi,Kadavanthra,Quick Bites,1130am to 1030pm(Mon-Sun),Very Good,4.0,38
Malabar Hotel Live Kitchen,400,"Kerala,South Indian,Chinese",Kochi,Kaloor,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,40
Olive Eva Hotel-Seven Spices Restaurant,500,"Chinese,South Indian,North Indian",Kochi,Kakkanad,Casual Dining,730am to 10pm(Mon-Sun),Average,3.4,28
K.R. Bakes,550,"South Indian,North Indian,Chinese,Bakery",Kochi,Palarivattom,Quick Bites,"8am to 10pm(Mon,Sun),9am to 10pm(Tue-Sat)",Average,3.2,36
