Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Frostee Icecream Parlour,200,"Ice Cream,Fast Food",Kolhapur,Rajarampuri,Dessert Parlor,10am to 10pm(Mon-Sun),Good,3.8,5
Just Bake,350,Bakery,Kolhapur,Tarabhai Park,Bakery,11am to 10pm(Mon-Sun),Good,3.5,8
Kolhapur Dining,800,"North Indian,Maharashtrian",Kolhapur,Rajarampuri,Casual Dining,"11am to 3pm,7pm to 1030pm(Mon-Sun)",Average,3.4,10
Cafe Vivo,400,Fast Food,Kolhapur,Tarabhai Park,Quick Bites,8am to 12midnight(Mon-Sun),Good,3.6,9
My Marathi Shri Mahalaxmi Mahila Gruh Udyog,300,Maharashtrian,Kolhapur,Kasaba Bawada,Casual Dining,8am to 10pm(Mon-Sun),Average,3.4,6
MH-09,200,Indian,Kolhapur,Shahupuri,Bhojanalya,"11am to 330pm,7pm to 1130pm(Mon-Sun)",Average,3.4,7
Hotel Scores,700,"North Indian,Maharashtrian",Kolhapur,Shahupuri,Casual Dining,"1130am to 330pm,7pm to 1130pm(Mon-Sun)",Good,3.6,5
China Dine Hotel,350,Chinese,Kolhapur,Kasaba Bawada,Casual Dining,11am to 11pm(Mon-Sun),Good,3.5,7
Aabacha Dhaba,400,Maharashtrian,Kolhapur,Kasaba Bawada,Casual Dining,11am to 11pm(Mon-Sun),Good,3.8,7
Hotel Royal Treat,500,"Maharashtrian,North Indian",Kolhapur,Tarabhai Park,Casual Dining,11am to 11pm(Mon-Sun),Average,3.2,5
Krushna fast food,250,"Cafe,Fast Food,Maharashtrian",Kolhapur,Tarabhai Park,Casual Dining,10am to 11pm(Mon-Sun),Average,3.1,4
Krushna fast food,250,"Cafe,Fast Food,Maharashtrian",Kolhapur,Tarabhai Park,Casual Dining,10am to 11pm(Mon-Sun),Average,3.1,4
Dosaz N More,300,South Indian,Kolhapur,Rajarampuri,Quick Bites,9am to 9pm(Mon-Sun),Average,3.3,4
