Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Lapalap,300,"Fast Food,North Indian",Jalandhar,Model Town,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,69
Singh Fast Food,100,Chinese,Jalandhar,Model Town,Quick Bites,(Mon-Sun),Average,3.2,9
Friends Burger Corner,150,Fast Food,Jalandhar,Model Town,Quick Bites,2pm to 12midnight(Mon-Sun),Good,3.8,70
Mozito,1000,Continental,Jalandhar,Nakodar Road,Bar,10am to 10pm(Mon-Sun),Average,2.9,7
Grill'd Bite,400,Fast Food,Jalandhar,Adarsh Nagar,Quick Bites,12noon to 10pm(Mon-Sun),Average,2.8,8
New Parkash Icecream,100,Desserts,Jalandhar,Transport Nagar,Dessert Parlor,10am to 11pm(Mon-Sun),Good,3.8,46
Chai Chuski,500,"Fast Food,Beverages",Jalandhar,Shastri Nagar,Beverage Shop,10am to 10pm(Mon-Sun),Average,2.9,11
Tasty Chacha,400,North Indian,Jalandhar,Model Town,Quick Bites,11am to 10pm(Mon-Sun),Average,3.1,6
Eat And Meet,200,Fast Food,Jalandhar,Model Town,Quick Bites,1030am to 10pm(Mon-Sun),Average,3.1,5
Tawa Hut Veg & Non veg,400,North Indian,Jalandhar,Model Town,Quick Bites,11am to 10pm(Mon-Sun),Average,2.8,8
Emmson Bakers,250,Bakery,Jalandhar,Model Town,Bakery,11am to 10pm(Mon-Sun),Average,3.1,5
Delhi Cafe Heights,200,North Indian,Jalandhar,Model Town,Casual Dining,12noon to 10pm(Mon-Sun),Average,3.0,4
Krishna Amritsari Nan,150,North Indian,Jalandhar,Shastri Nagar,Quick Bites,10am to 10pm(Mon-Sun),Average,2.8,6
Snack's Box,300,"North Indian,Chinese",Jalandhar,Urban Estate,Quick Bites,2pm to 11pm(Mon-Sun),Good,3.8,51
Amrit Vaishno Dhaba,300,North Indian,Jalandhar,Rama Mandi,Dhaba,11am to 10pm(Mon-Sun),Average,3.0,4
Shape Of You,250,"Beverages,Salad",Jalandhar,Model Town,none,11am to 11pm(Mon-Sun),Good,3.7,29
