Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Madhur Mishthan,100,Mithai,Gorakhpur,Shakti Nagar Colony,Sweet Shop,2pm to 10pm(Mon-Sun),Average,3.3,14
Pizza Cafe Day,250,"Pizza,Cafe",Gorakhpur,Rapti Nagar Phase 4,Quick Bites,11am to 10pm(Mon-Sun),Average,3.2,14
Hangoutz,150,"Rolls,Chinese,Burger",Gorakhpur,Shahpur,Food Court,(Mon-Sun),Average,3.2,5
Pizza Cafe Day,300,"Fast Food,Pizza",Gorakhpur,Shatabdipuram,Quick Bites,10am to 1030pm(Mon-Sun),Average,3.2,37
7th Heaven,400,Desserts,Gorakhpur,Betiahata,Bakery,11am to 11pm(Mon-Sun),Average,3.2,12
Hungry Family Restaurant,300,North Indian,Gorakhpur,Rapti Nagar Phase 4,Quick Bites,1130am to 10pm(Mon-Sun),Average,3.2,5
Manoranjan Cakes Bakes,350,Bakery,Gorakhpur,Golghar,Bakery,830am to 830pm(Mon-Sun),Average,3.2,6
The Eat India Company,300,"North Indian,Chinese",Gorakhpur,Golghar,Casual Dining,(Mon-Sun),Average,3.2,5
Bobi's bakery,250,"Burger,Bakery",Gorakhpur,Golghar,Bakery,(Mon-Sun),Average,3.2,6
Agrawal kaar..khana,250,"North Indian,Chinese,Fast Food",Gorakhpur,Shahpur,Casual Dining,(Mon-Sun),Average,3.2,7
New Chik pack and Kanpur biryani the family restaurant,250,"North Indian,Biryani",Gorakhpur,Shahpur,Casual Dining,1pm to 10pm(Mon-Sun),Average,3.2,9
Gorakhnath Mishthan,200,"Street Food,Mithai",Gorakhpur,Shakti Nagar Colony,Quick Bites,9am to 10pm(Mon-Sun),Average,3.2,13
Dinner Point,1000,"Chinese,Continental,North Indian,South Indian",Gorakhpur,Shahpur,Casual Dining,11am to 11pm(Mon-Sun),Average,3.3,24
The bread box,300,Bakery,Gorakhpur,Rapti Nagar Phase 4,Bakery,(Mon-Sun),Average,3.2,4
Cyclone,1000,"North Indian,Continental,Chinese",Gorakhpur,Azad Nagar,Lounge,(Mon-Sun),Average,3.2,8
Rama Sweets & Restaurant,100,Indian,Gorakhpur,Shakti Nagar Colony,Quick Bites,9am to 10pm(Mon-Sun),Average,3.3,8
Makhan Bhog,150,Mithai,Gorakhpur,Miyan Baza,Sweet Shop,8am to 10am(Mon-Sun),Average,3.2,10
Retreat,200,North Indian,Gorakhpur,Golghar,Food Court,(Mon-Sun),Average,3.3,5
Wood box,150,"Pizza,Burger,Rolls,Sandwich",Gorakhpur,Golghar,Café,(Mon-Sun),Average,3.2,8
Crazy Bite,250,Fast Food,Gorakhpur,Kunraghat,Quick Bites,1030am to 10pm(Mon-Sun),Average,3.2,10
Bhola Mutton Shop,100,"Biryani,North Indian",Gorakhpur,Golghar,Quick Bites,11am to 6pm(Mon-Sun),Average,3.2,8
Modella Bakers,100,Bakery,Gorakhpur,Golghar,Bakery,11am to 10pm(Mon-Sun),Average,3.3,4
Annapurna Sweets,150,"Mithai,Street Food",Gorakhpur,Azad Nagar,Sweet Shop,10am to 10pm(Mon-Sun),Average,3.2,5
Rajnandini Restaurant & Banquet,200,North Indian,Gorakhpur,Azad Nagar,none,1055am to 1030pm(Mon-Sun),Average,3.3,21
Bite Club,100,"Fast Food,North Indian",Gorakhpur,Azad Nagar,Quick Bites,11am to 9pm(Mon-Sun),Average,3.2,11
