Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Birajo Restaurant,500,"North Indian,South Indian,Fast Food",Jaipur,Vaishali Nagar,Casual Dining,930am to 1030pm(Mon-Sun),Good,3.7,63
Chaat Bazaar,200,"South Indian,North Indian,Chinese",Jaipur,Tonk Road,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.5,69
Ravee's Kitchen (Tasteens),700,"North Indian,Mughlai,Kebab",Jaipur,Khatipura Road,Casual Dining,12noon to 11pm(Mon-Sun),Good,3.5,60
The Kathi Roll Express,100,Rolls,Jaipur,Malviya Nagar,Quick Bites,1130am to 11pm(Mon-Sun),Good,3.5,68
The Swaad Dish,300,North Indian,Jaipur,Vaishali Nagar,Quick Bites,"12midnight to 2am,1145am to 12midnight(Mon-Sun)",Good,3.8,132
Mini's Baker's Hub,350,"Bakery,Fast Food",Jaipur,Mansarovar,Bakery,1130am to 830pm(Mon-Sun),Good,3.8,52
Pink City Kings,250,North Indian,Jaipur,Amer Road,Casual Dining,10am to 11pm(Mon-Sun),Poor,2.4,56
CM Bakers & Cafe,600,"Cafe,Bakery",Jaipur,Tonk Road,Café,730am to 11pm(Mon-Sun),Good,3.5,66
Cafe Terra,400,"Chinese,Continental,North Indian,Beverages",Jaipur,Ajmer Highway,Quick Bites,8am to 11pm(Mon-Sun),Average,3.2,23
Bhavya Govindam,500,"North Indian,Chinese",Jaipur,Jawahar Nagar,Quick Bites,8am to 11pm(Mon-Sun),Average,2.8,59
Duke's Diner Cafe,600,Cafe,Jaipur,C Scheme,Café,830am to 10pm(Mon-Sun),Good,3.7,62
Wrap N Rolling,150,Rolls,Jaipur,Malviya Nagar,Quick Bites,"1230pm to 11pm(Mon,Tue,Wed,Sat,Sun),1130am...",Good,3.7,79
Friends Cafe,800,"North Indian,Chinese,Italian,Mexican,Fast Food",Jaipur,Malviya Nagar,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,54
Tandoor's Grill,500,North Indian,Jaipur,Malviya Nagar,Quick Bites,11am to 11pm(Mon-Sun),Average,3.4,53
