Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Lajeez,450,"North Indian,Chinese",Guwahati,Narengi Tinali,Casual Dining,1030am to 930pm(Mon-Sun),Average,2.7,20
Cheers Crossroads,900,"North Indian,Chinese",Guwahati,Ganeshguri,Pub,1pm to 10pm(Mon-Sun),Average,2.6,24
Classic Dine,700,"Chinese,North Indian,Momos",Guwahati,Narengi Tinali,Casual Dining,NA,Good,3.5,33
Food @ 37,200,"Chinese,North Indian",Guwahati,Jalukbari,Quick Bites,10am to 10pm(Mon-Sun),Average,3.2,8
Fitness Food All Day 7,300,"Healthy Food,Salad",Guwahati,Ganeshguri,Quick Bites,11am to 730pm(Mon-Sun),Average,3.2,9
Maruti Restaurant,400,"North Indian,Rajasthani",Guwahati,Beltola,Quick Bites,9am to 10pm(Mon-Sun),Average,3.2,8
Iris Deli,200,"Fast Food,Chinese,Bakery,North Indian",Guwahati,Ulubari,Quick Bites,"830am to 10pm(Mon-Sat),11am to 10pm(Sun)",Average,3.1,11
Hot Box,350,"North Indian,Chinese,Street Food",Guwahati,Silpukhuri,Quick Bites,12noon to 1030pm(Mon-Sun),Average,2.7,16
Master Chef Restaurant,500,"Indian,North Eastern",Guwahati,Uzan Bazaar,Casual Dining,9am to 9pm(Mon-Sun),Average,3.3,15
Awesome Dine,500,"Desserts,Chinese,Biryani",Guwahati,Ganeshguri,Casual Dining,11am to 10pm(Mon-Sun),Good,3.6,10
Jus Fresh,500,"Juices,Sandwich,Momos,Rolls,Salad,Desserts",Guwahati,Fancy Bazaar,Quick Bites,11am to 930pm(Mon-Sun),Biasa,3.4,13
On The Plate,250,Fast Food,Guwahati,Zoo Tiniali,Quick Bites,(Mon-Sun),Average,3.0,16
Cityline,350,Fast Food,Guwahati,Bhangagarh,Quick Bites,930am to 10pm(Mon-Sun),Average,2.8,16
Missisippi Restaurant,300,South Indian,Guwahati,Ganeshguri,Quick Bites,1130am to 1030pm(Mon-Sun),Average,3.3,8
Kathi Junction,500,"Fast Food,North Indian",Guwahati,Bhangagarh,Quick Bites,11am to 10pm(Mon-Sun),Average,3.3,18
Quench,200,"Chinese,Seafood",Guwahati,Chandmari,Quick Bites,"10am to 10pm(Mon-Sat),12noon to 10pm(Sun)",Average,2.9,12
Guwahati Grill,600,North Indian,Guwahati,Beltola,Quick Bites,11am to 10pm(Mon-Sun),Average,3.3,7
Hill View Holiday Home And Resort,500,Indian,Guwahati,Maligaon,Casual Dining,9am to 7pm(Mon-Sun),Good,3.6,16
B Veg,600,"North Indian,South Indian",Guwahati,Bhangagarh,Food Court,11am to 10pm(Mon-Sun),Average,3.1,12
Punjabi Wok,600,"North Indian,Chinese",Guwahati,Jalukbari,Casual Dining,10am to 10pm(Mon-Sun),Average,3.3,20
