Name,Price,Cuisine_Category,City,Region,Cuisine_Type,Timing,Rating_Types,Rating,Votes
Sharman Jain Sweets,250,"North Indian,Mithai",Ludhiana,Civil Lines,Quick Bites,830am to 1030pm(Mon-Sun),Very Good,4.2,999
The Beer Street,1500,"North Indian,Italian,Chinese",Ludhiana,Dugri,Bar,11am to 1130pm(Mon-Sun),Very Good,4.0,213
Uttam Chicken Corner,700,"North Indian,Mughlai",Ludhiana,Civil Lines,Quick Bites,12noon to 12midnight(Mon-Sun),Good,3.8,240
Street Se,700,"Street Food,North Indian,Mughlai,Chinese",Ludhiana,Sarabha Nagar,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,127
Baba chicken,500,"North Indian,Mughlai,Chinese",Ludhiana,Gill Road,Quick Bites,1230pm to 11pm(Mon-Sun),Good,3.6,213
Jain Snacks Corner,150,Fast Food,Ludhiana,Ludhiana Junction,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.1,132
Pandit Ji Ke Kulche Chane,200,North Indian,Ludhiana,Civil Lines,Quick Bites,8am to 11pm(Mon-Sun),Good,3.9,193
3 K Resorts,500,"North Indian,Chinese",Ludhiana,BRS Nagar,Casual Dining,11am to 1115pm(Mon-Sun),Good,3.5,220
13 Miles,300,Fast Food,Ludhiana,Dugri,Quick Bites,11am to 11pm(Mon-Sun),Good,3.8,173
Gravy-Tation,450,North Indian,Ludhiana,BRS Nagar,none,"12noon to 11pm(Mon,Sat,Sun),1pm to 11pm(Tue-Fri)",Average,3.4,256
Sharman Jain Sweets,300,Mithai,Ludhiana,BRS Nagar,Sweet Shop,830am to 1030pm(Mon-Sun),Very Good,4.2,595
Kulcha Land,200,Street Food,Ludhiana,Model Town,Quick Bites,9am to 5pm(Mon-Sun),Very Good,4.3,478
Oberoi Cholle Bhature,250,"Street Food,Fast Food",Ludhiana,Ludhiana Junction,Quick Bites,8am to 5pm(Mon-Sun),Very Good,4.0,354
Rishika's Sweet Temptations,200,"Bakery,Fast Food",Ludhiana,Civil Lines,Quick Bites,10am to 10pm(Mon-Sun),Very Good,4.3,277
Bakes N Flakes,500,"Desserts,Bakery",Ludhiana,Dugri,Dessert Parlor,8am to 11pm(Mon-Sun),Average,3.4,16
Kiwi Kitchen,400,"Fast Food,North Indian,Chinese",Ludhiana,BRS Nagar,Quick Bites,"130pm to 11pm(Mon-Fri),130pm to 1130pm(Sat-Sun)",Good,3.5,236
Pandit ji Pav Bhaji,100,Street Food,Ludhiana,Ludhiana Junction,Quick Bites,130pm to 12midnight(Mon-Sun),Good,3.7,113
Basant Food Plaza,600,"North Indian,Chinese,Fast Food,Ice Cream,Beverages",Ludhiana,Gurudev Nagar,Casual Dining,11am to 1130pm(Mon-Sun),Poor,2.2,203
Guddu Chicken,400,Fast Food,Ludhiana,PAU,Quick Bites,6pm to 11pm(Mon-Sun),Very Good,4.1,207
Snacks Point,500,Fast Food,Ludhiana,Model Town,Quick Bites,1230pm to 1030pm(Mon-Sun),Very Good,4.3,766
Khushi Ram & Sons,200,"Fast Food,Street Food",Ludhiana,PAU,Quick Bites,8am to 10pm(Mon-Sun),Good,3.7,542
The Diet Saga by Sania Gupta,800,"Cafe,Continental,Healthy Food",Ludhiana,Sarabha Nagar,Café,"10am to 1030pm(Mon-Sat),930am to 1030pm(Sun)",Very Good,4.4,327
Waffle House,600,"Cafe,Desserts,Italian,Continental",Ludhiana,Dugri,Dessert Parlor,11am to 11pm(Mon-Sun),Good,3.7,121
Amritsari Kulcha Hut,150,Street Food,Ludhiana,Model Town,Dhaba,11am to 11pm(Mon-Sun),Good,3.5,185
The Drawing Room,1100,"Continental,Chinese,North Indian,Cafe",Ludhiana,Sarabha Nagar,Casual Dining,11am to 1130pm(Mon-Sun),Good,3.9,88
Hungry Mouth,450,"Fast Food,Beverages",Ludhiana,Pakhowal Road,Quick Bites,11am to 1130pm(Mon-Sun),Very Good,4.0,152
2Q's - Hotel Taksonz,1000,"North Indian,Chinese,Continental",Ludhiana,Ludhiana Junction,Casual Dining,"11am to 1130pm(Mon,Tue,Wed,Thu,Sat),11am to ...",Excellent,4.7,150
Food Drive,400,"Pizza,Fast Food",Ludhiana,Model Town,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.8,200
The Bruu Kiln,1500,"Asian,European",Ludhiana,Sarabha Nagar,Casual Dining,11am to 1am(Mon-Sun),Very Good,4.0,124
The Gelato King,400,"Cafe,Desserts,Ice Cream",Ludhiana,Civil Lines,Café,11am to 2am(Mon-Sun),Good,3.5,144
Ashok Fruit Juice,100,Juices,Ludhiana,Model Town,Beverage Shop,7am to 11pm(Mon-Sun),Good,3.9,132
Kanpur Gyan Vegetarian (KGV),620,"North Indian,South Indian,Fast Food,Chinese",Ludhiana,Civil Lines,Casual Dining,11am to 1130pm(Mon-Sun),Good,3.9,204
Rawat Food Point,400,Fast Food,Ludhiana,BRS Nagar,none,NA,Good,3.8,311
Samosa Junction,250,Fast Food,Ludhiana,Model Town,Quick Bites,"1030am to 9pm(Mon-Sat),121pm to 9pm(Sun)",Good,3.8,422
Bake 4 U,500,"Cafe,Chinese,Fast Food",Ludhiana,Civil Lines,Café,10am to 1030pm(Mon-Sun),Good,3.9,334
Cafe Delish  - Radisson Blu Hotel,1400,"North Indian,Italian,Chinese,South Indian,Continental,Cafe",Ludhiana,Radisson Blu Hotel-- Rajguru Nagar,Fine Dining,24,Very Good,4.2,136
